,counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
1081,1081,-455,356,-6314,306,531,-152,392433331,30036045,500219729,1.046875,3159,44.221935,16.327024
1082,1082,-437,306,-5796,119,173,-72,392433330,30036045,500219730,1.046875,3158,53.348774,-2.31726
1083,1083,-437,306,-5796,119,173,-72,392433330,30036045,500219730,1.046875,3158,53.348774,-2.31726
1084,1084,-437,306,-5796,119,173,-72,392433330,30036045,500219730,1.046875,3158,53.348774,-2.31726
1085,1085,-380,286,-5201,-111,309,53,392433330,30036044,500219730,1.050781,3168,28.206482,23.142258
1086,1086,-380,286,-5201,-111,309,53,392433330,30036044,500219730,1.050781,3168,28.206482,23.142258
1087,1087,-380,286,-5201,-111,309,53,392433330,30036044,500219730,1.050781,3168,28.206482,23.142258
1088,1088,-339,264,-4560,-126,600,-89,392433329,30036044,500219731,1.046875,3185,84.878342,39.462208
1089,1089,-339,264,-4560,-126,600,-89,392433329,30036044,500219731,1.046875,3185,84.878342,39.462208
1090,1090,-339,264,-4560,-126,600,-89,392433329,30036044,500219731,1.046875,3185,84.878342,39.462208
1091,1091,-317,234,-3923,-202,109,-87,392433328,30036044,500219731,1.046875,3145,34.429386,0.0
1092,1092,-317,234,-3923,-202,109,-87,392433328,30036044,500219731,1.046875,3145,34.429386,0.0
1093,1093,-317,234,-3923,-202,109,-87,392433328,30036044,500219731,1.046875,3145,34.429386,0.0
1094,1094,-302,227,-3416,80,197,201,392433328,30036044,500219732,1.046875,3143,27.898283,18.311516
1095,1095,-302,227,-3416,80,197,201,392433328,30036044,500219732,1.046875,3143,27.898283,18.311516
1096,1096,-302,227,-3416,80,197,201,392433328,30036044,500219732,1.046875,3143,27.898283,18.311516
1097,1097,-326,203,-3070,-182,-118,-163,392433327,30036044,500219732,1.046875,35908,15.519592,41.255527
1098,1098,-326,203,-3070,-182,-118,-163,392433327,30036044,500219732,1.046875,35908,15.519592,41.255527
1099,1099,-326,203,-3070,-182,-118,-163,392433327,30036044,500219732,1.046875,35908,15.519592,41.255527
1100,1100,-272,175,-2818,278,-201,49,392433326,30036043,500219733,1.050781,3131,34.188309,20.655073
1101,1101,-272,175,-2818,278,-201,49,392433326,30036043,500219733,1.050781,3131,34.188309,20.655073
1102,1102,-272,175,-2818,278,-201,49,392433326,30036043,500219733,1.050781,3131,34.188309,20.655073
1103,1103,-332,198,-2695,193,-214,42,392433326,30036043,500219733,1.050781,35910,6.166745,29.598425
1104,1104,-332,198,-2695,193,-214,42,392433326,30036043,500219733,1.050781,35910,6.166745,29.598425
1105,1105,-332,198,-2695,193,-214,42,392433326,30036043,500219733,1.050781,35910,6.166745,29.598425
1106,1106,-338,211,-2620,550,-201,5,392433324,30036042,500219734,1.050781,3124,0.0,34.22789
1107,1107,-338,211,-2620,550,-201,5,392433324,30036042,500219734,1.050781,3124,0.0,34.22789
1108,1108,-338,211,-2620,550,-201,5,392433324,30036042,500219734,1.050781,3124,0.0,34.22789
